Date : 2025-06-04 13:45:09
Directory : c:\Users\mattr\Isometric Alpha
Total : 1007 files,  145172 codes, 11315 comments, 36935 blanks, all 193422 lines

Languages
+-------------+------------+------------+------------+------------+------------+
| language    | files      | code       | comment    | blank      | total      |
| Assets\RedBlueGames\MulliganRenamer\Editor\Networking                                                                                      |          5 |        264 |        184 |         63 |        511 |
| Assets\RedBlueGames\MulliganRenamer\Editor\OperationDrawers                                                                                |         15 |      1,350 |        751 |        233 |      2,334 |
| Assets\RedBlueGames\MulliganRenamer\Editor\Operations                                                                                      |         12 |      1,536 |        771 |        298 |      2,605 |
| Assets\RedBlueGames\MulliganRenamer\Editor\PreferencesAndSettings                                                                          |          3 |        342 |        138 |         76 |        556 |
| Assets\RedBlueGames\MulliganRenamer\Editor\Renaming                                                                                        |         14 |      1,273 |        766 |        247 |      2,286 |
| Assets\RedBlueGames\MulliganRenamer\Editor\Resources                                                                                       |          4 |      2,716 |          0 |          2 |      2,718 |
| Assets\RedBlueGames\MulliganRenamer\Editor\Resources\MulliganLanguages                                                                     |          4 |      2,716 |          0 |          2 |      2,718 |
| Assets\RedBlueGames\MulliganRenamer\Editor\Undo                                                                                            |          2 |        117 |         76 |         25 |        218 |
| Assets\Scenes                                                                                                                              |        170 |     13,804 |          0 |      7,769 |     21,573 |
| Assets\Scenes\1SlaveShack                                                                                                                  |          4 |        626 |          0 |        308 |        934 |
| Assets\Scenes\1SlaveShack\Dialogue                                                                                                         |          4 |        626 |          0 |        308 |        934 |
| Assets\Scenes\2SlaveShack                                                                                                                  |          8 |        826 |          0 |        551 |      1,377 |
| Assets\Scenes\2SlaveShack\Dialogue                                                                                                         |          8 |        826 |          0 |        551 |      1,377 |
| Assets\Scenes\2SlaveShack\Dialogue (Files)                                                                                                 |          4 |        178 |          0 |        131 |        309 |
| Assets\Scenes\2SlaveShack\Dialogue\Garcha                                                                                                  |          2 |         79 |          0 |         48 |        127 |
| Assets\Scenes\2SlaveShack\Dialogue\IntroDialogue                                                                                           |          2 |        569 |          0 |        372 |        941 |
| Assets\Scenes\3SlaveShack                                                                                                                  |          4 |        495 |          0 |        216 |        711 |
| Assets\Scenes\3SlaveShack\Dialogue                                                                                                         |          4 |        495 |          0 |        216 |        711 |
| Assets\Scenes\4SlaveShack                                                                                                                  |          2 |      1,569 |          0 |        703 |      2,272 |
| Assets\Scenes\4SlaveShack\Dialogue                                                                                                         |          2 |      1,569 |          0 |        703 |      2,272 |
| Assets\Scenes\5SlaveShack                                                                                                                  |          4 |        348 |          0 |        155 |        503 |
| Assets\Scenes\5SlaveShack\Dialogue                                                                                                         |          4 |        348 |          0 |        155 |        503 |
| Assets\Scenes\6SlaveShack                                                                                                                  |          6 |        459 |          0 |        263 |        722 |
| Assets\Scenes\6SlaveShack\Dialogue                                                                                                         |          6 |        459 |          0 |        263 |        722 |
| Assets\Scenes\7SlaveShack                                                                                                                  |          2 |        361 |          0 |        141 |        502 |
| Assets\Scenes\7SlaveShack\Dialogue                                                                                                         |          2 |        361 |          0 |        141 |        502 |
| Assets\Scenes\Manse_Floor_1                                                                                                                |         10 |        401 |          0 |        282 |        683 |
| Assets\Scenes\Manse_Floor_1\Dialogue                                                                                                       |         10 |        401 |          0 |        282 |        683 |
| Assets\Scenes\Manse_Floor_2                                                                                                                |          6 |        377 |          0 |        260 |        637 |
| Assets\Scenes\Manse_Floor_2\Dialogue                                                                                                       |          6 |        377 |          0 |        260 |        637 |
| Assets\Scenes\Manse_Floor_2\Dialogue (Files)                                                                                               |          4 |        197 |          0 |        141 |        338 |
| Assets\Scenes\Manse_Floor_2\Dialogue\Director                                                                                              |          2 |        180 |          0 |        119 |        299 |
| Assets\Scenes\MessHall                                                                                                                     |          2 |        188 |          0 |         99 |        287 |
| Assets\Scenes\MessHall\Dialogue                                                                                                            |          2 |        188 |          0 |         99 |        287 |
| Assets\Scenes\MineLvl_2                                                                                                                    |         18 |        818 |          0 |        609 |      1,427 |
| Assets\Scenes\MineLvl_2\Dialogue                                                                                                           |         18 |        818 |          0 |        609 |      1,427 |
| Assets\Scenes\MineLvl_2\Dialogue (Files)                                                                                                   |         12 |        541 |          0 |        406 |        947 |
| Assets\Scenes\MineLvl_2\Dialogue\Interactable Terrain                                                                                      |          6 |        277 |          0 |        203 |        480 |
| Assets\Scenes\MineLvl_2\Dialogue\Interactable Terrain (Files)                                                                              |          2 |         89 |          0 |         66 |        155 |
| Assets\Scenes\MineLvl_2\Dialogue\Interactable Terrain\1a                                                                                   |          2 |         96 |          0 |         70 |        166 |
| Assets\Scenes\MineLvl_2\Dialogue\Interactable Terrain\7b                                                                                   |          2 |         92 |          0 |         67 |        159 |
| Assets\Scenes\MineLvl_3                                                                                                                    |         28 |      2,452 |          0 |      1,479 |      3,931 |
| Assets\Scenes\MineLvl_3\Dialogue                                                                                                           |         28 |      2,452 |          0 |      1,479 |      3,931 |
| Assets\Scenes\MineLvl_3\Dialogue (Files)                                                                                                   |          8 |        817 |          0 |        484 |      1,301 |
| Assets\Scenes\MineLvl_3\Dialogue\Guards                                                                                                    |         12 |        953 |          0 |        643 |      1,596 |
| Assets\Scenes\MineLvl_3\Dialogue\Guards (Files)                                                                                            |          8 |        657 |          0 |        436 |      1,093 |
| Assets\Scenes\MineLvl_3\Dialogue\Guards\Old                                                                                                |          4 |        296 |          0 |        207 |        503 |
| Assets\Scenes\MineLvl_3\Dialogue\Miners                                                                                                    |          8 |        682 |          0 |        352 |      1,034 |
| Assets\Scenes\Pit                                                                                                                          |          4 |        194 |          0 |        114 |        308 |
| Assets\Scenes\Pit\Dialogue                                                                                                                 |          4 |        194 |          0 |        114 |        308 |
| Assets\Scenes\Slave Camp                                                                                                                   |         62 |      4,135 |          0 |      2,308 |      6,443 |
| Assets\Scenes\Slave Camp\Dialogue                                                                                                          |         62 |      4,135 |          0 |      2,308 |      6,443 |
| Assets\Scenes\Slave Camp\Dialogue (Files)                                                                                                  |         20 |      1,364 |          0 |        635 |      1,999 |
| Assets\Scenes\Slave Camp\Dialogue\BarricadeGuards                                                                                          |          4 |        148 |          0 |         67 |        215 |
| Assets\Scenes\Slave Camp\Dialogue\CampSEPatchJobs                                                                                          |          6 |        276 |          0 |        207 |        483 |
| Assets\Scenes\Slave Camp\Dialogue\GuardPunishments                                                                                         |         20 |      1,881 |          0 |      1,118 |      2,999 |
| Assets\Scenes\Slave Camp\Dialogue\Page                                                                                                     |          2 |        102 |          0 |         60 |        162 |
| Assets\Scenes\Slave Camp\Dialogue\PartyMember                                                                                              |          2 |         96 |          0 |         72 |        168 |
| Assets\Scenes\Slave Camp\Dialogue\Tabor                                                                                                    |          8 |        268 |          0 |        149 |        417 |
| Assets\Scenes\Stables                                                                                                                      |          2 |         88 |          0 |         66 |        154 |
| Assets\Scenes\Stables\Dialogue                                                                                                             |          2 |         88 |          0 |         66 |        154 |
| Assets\Scenes\Stockhouse                                                                                                                   |          8 |        467 |          0 |        215 |        682 |
| Assets\Scenes\Stockhouse\Dialogue                                                                                                          |          8 |        467 |          0 |        215 |        682 |
| Assets\TextMesh Pro                                                                                                                        |         18 |      2,489 |         82 |        648 |      3,219 |
| Assets\TextMesh Pro\Shaders                                                                                                                |         17 |      2,334 |         82 |        646 |      3,062 |
| Assets\TextMesh Pro\Sprites                                                                                                                |          1 |        155 |          0 |          2 |        157 |
| Assets\WanzyeeStudio                                                                                                                       |         17 |      2,086 |      1,607 |      1,218 |      4,911 |
| Assets\WanzyeeStudio\Scripts                                                                                                               |         17 |      2,086 |      1,607 |      1,218 |      4,911 |
| Assets\WanzyeeStudio\Scripts\Editor                                                                                                        |         13 |      1,833 |      1,393 |      1,051 |      4,277 |
| Assets\WanzyeeStudio\Scripts\Editor (Files)                                                                                                |          1 |         12 |          0 |          0 |         12 |
| Assets\WanzyeeStudio\Scripts\Editor\Base                                                                                                   |          5 |        610 |        454 |        272 |      1,336 |
| Assets\WanzyeeStudio\Scripts\Editor\Base\Extension                                                                                         |          1 |         29 |         32 |         12 |         73 |
| Assets\WanzyeeStudio\Scripts\Editor\Base\Instance                                                                                          |          1 |         85 |         67 |         50 |        202 |
| Assets\WanzyeeStudio\Scripts\Editor\Base\Utility                                                                                           |          3 |        496 |        355 |        210 |      1,061 |
| Assets\WanzyeeStudio\Scripts\Editor\Toolkit                                                                                                |          7 |      1,211 |        939 |        779 |      2,929 |
| Assets\WanzyeeStudio\Scripts\Editor\Toolkit\Interim                                                                                        |          7 |      1,211 |        939 |        779 |      2,929 |
| Assets\WanzyeeStudio\Scripts\Runtime                                                                                                       |          4 |        253 |        214 |        167 |        634 |
| Assets\WanzyeeStudio\Scripts\Runtime (Files)                                                                                               |          1 |          8 |          0 |          0 |          8 |
| Assets\WanzyeeStudio\Scripts\Runtime\Base                                                                                                  |          3 |        245 |        214 |        167 |        626 |
| Assets\WanzyeeStudio\Scripts\Runtime\Base\Extension                                                                                        |          2 |        196 |        164 |        134 |        494 |
| Assets\WanzyeeStudio\Scripts\Runtime\Base\Utility                                                                                          |          1 |         49 |         50 |         33 |        132 |
| Assets\_Heathen Engineering                                                                                                                |          4 |      1,625 |          2 |         16 |      1,643 |
| Assets\_Heathen Engineering\Assets                                                                                                         |          3 |      1,612 |          2 |         13 |      1,627 |
| Assets\_Heathen Engineering\Assets\Common                                                                                                  |          1 |        428 |          1 |         10 |        439 |
| Assets\_Heathen Engineering\Assets\Common\Images                                                                                           |          1 |        428 |          1 |         10 |        439 |
| Assets\_Heathen Engineering\Assets\Common\Images\Heathen Corporate                                                                         |          1 |        428 |          1 |         10 |        439 |
| Assets\_Heathen Engineering\Assets\UX                                                                                                      |          2 |      1,184 |          1 |          3 |      1,188 |
| Assets\_Heathen Engineering\Assets\UX (Files)                                                                                              |          1 |         17 |          0 |          0 |         17 |
| Assets\_Heathen Engineering\Assets\UX\Icons                                                                                                |          1 |      1,167 |          1 |          3 |      1,171 |
| Assets\_Heathen Engineering\Assets\UX\Icons\Flat Icons [Free]                                                                              |          1 |      1,167 |          1 |          3 |      1,171 |
| Assets\_Heathen Engineering\Assets\UX\Icons\Flat Icons [Free]\Source                                                                       |          1 |      1,167 |          1 |          3 |      1,171 |
| Assets\_Heathen Engineering\Samples                                                                                                        |          1 |         13 |          0 |          3 |         16 |
| Assets\_Heathen Engineering\Samples\UX Examples                                                                                            |          1 |         13 |          0 |          3 |         16 |
| Assets\_Heathen Engineering\Samples\UX Examples\Flat Icons [Free]                                                                          |          1 |         13 |          0 |          3 |         16 |
| Assets\obj                                                                                                                                 |          2 |          6 |          2 |          2 |         10 |
| Assets\obj\x86                                                                                                                             |          2 |          6 |          2 |          2 |         10 |
| Assets\obj\x86\Debug                                                                                                                       |          1 |          3 |          1 |          1 |          5 |
| Assets\obj\x86\Release                                                                                                                     |          1 |          3 |          1 |          1 |          5 |
| Assets\src                                                                                                                                 |        428 |     39,719 |      1,842 |     10,492 |     52,053 |
| Assets\src (Files)                                                                                                                         |          2 |      1,475 |         30 |         78 |      1,583 |
| Assets\src\Art                                                                                                                             |          5 |        147 |         61 |         48 |        256 |
| Assets\src\Combat                                                                                                                          |        113 |     12,540 |        659 |      3,287 |     16,486 |
| Assets\src\Combat (Files)                                                                                                                  |         15 |      3,074 |         95 |        793 |      3,962 |
| Assets\src\Combat\Action                                                                                                                   |         34 |      3,735 |        149 |        938 |      4,822 |
| Assets\src\Combat\Action (Files)                                                                                                           |          4 |      1,532 |        104 |        383 |      2,019 |
| Assets\src\Combat\Action\Abilities                                                                                                         |         26 |      1,816 |         42 |        457 |      2,315 |
| Assets\src\Combat\Action\Abilities (Files)                                                                                                 |         16 |      1,353 |         37 |        330 |      1,720 |
| Assets\src\Combat\Action\Abilities\Activated Passives                                                                                      |          3 |        157 |          1 |         36 |        194 |
| Assets\src\Combat\Action\Abilities\HealingAbilities                                                                                        |          3 |         79 |          0 |         23 |        102 |
| Assets\src\Combat\Action\Abilities\RepositionAbilities                                                                                     |          4 |        227 |          4 |         68 |        299 |
| Assets\src\Combat\Action\Attack                                                                                                            |          4 |        387 |          3 |         98 |        488 |
| Assets\src\Combat\Animation                                                                                                                |          3 |        320 |        134 |        101 |        555 |
| Assets\src\Combat\CombatActionManager                                                                                                      |          5 |        661 |         22 |        186 |        869 |
| Assets\src\Combat\DamageNumbers                                                                                                            |          4 |        230 |          0 |         64 |        294 |
| Assets\src\Combat\HoverPanels                                                                                                              |          1 |         48 |          0 |         17 |         65 |
| Assets\src\Combat\Reposition                                                                                                               |          4 |        457 |          0 |        123 |        580 |
| Assets\src\Combat\Selectors                                                                                                                |          5 |      1,470 |        198 |        398 |      2,066 |
| Assets\src\Combat\Spawners                                                                                                                 |          3 |        389 |          2 |        103 |        494 |
| Assets\src\Combat\Tickers                                                                                                                  |          1 |         63 |          0 |         16 |         79 |
| Assets\src\Combat\Traits                                                                                                                   |         38 |      2,093 |         59 |        548 |      2,700 |
| Assets\src\Combat\Traits (Files)                                                                                                           |         13 |        993 |         45 |        255 |      1,293 |
| Assets\src\Combat\Traits\CrowdControl                                                                                                      |          2 |         49 |          0 |         12 |         61 |
| Assets\src\Combat\Traits\HiddenTraits                                                                                                      |          1 |         16 |          0 |          5 |         21 |
| Assets\src\Combat\Traits\OnDeathEffects                                                                                                    |          3 |         91 |          1 |         21 |        113 |
| Assets\src\Combat\Traits\RepetitionAbilities                                                                                               |          2 |         47 |          0 |         12 |         59 |
| Assets\src\Combat\Traits\StackableTraits                                                                                                   |          3 |        343 |          7 |         88 |        438 |
| Assets\src\Combat\Traits\TargetPriorityTraits                                                                                              |         14 |        554 |          6 |        155 |        715 |
| Assets\src\Debug                                                                                                                           |          2 |         45 |          0 |         14 |         59 |
| Assets\src\Editor                                                                                                                          |          1 |         34 |          0 |          9 |         43 |
| Assets\src\Enemies                                                                                                                         |         16 |      1,441 |         34 |        423 |      1,898 |
